#X,Displacement along Path(1)_Series Of Nodes
#Displacement(mm),Displacement(mm)_Real
0.000000E+00,0.000000E+00
5.778341E+01,7.638061E-06
1.196130E+02,2.726080E-05
1.896001E+02,6.691053E-05
2.710441E+02,1.354172E-04
3.638048E+02,2.422477E-04
4.623666E+02,3.887801E-04
5.617634E+02,5.702357E-04
6.611602E+02,7.847936E-04
7.605569E+02,1.031675E-03
8.599536E+02,1.310138E-03
9.593504E+02,1.619417E-03
1.058747E+03,1.958761E-03
1.158144E+03,2.327408E-03
1.257541E+03,2.724608E-03
1.356937E+03,3.149600E-03
1.456334E+03,3.601632E-03
1.555731E+03,4.079945E-03
1.655128E+03,4.583787E-03
1.754524E+03,5.112401E-03
1.853921E+03,5.665034E-03
1.953318E+03,6.240931E-03
2.052715E+03,6.839339E-03
2.152111E+03,7.459505E-03
2.251508E+03,8.100678E-03
2.350905E+03,8.762104E-03
2.450302E+03,9.443034E-03
2.549698E+03,1.014272E-02
2.649095E+03,1.086041E-02
2.748492E+03,1.159535E-02
2.847889E+03,1.234680E-02
2.947285E+03,1.311402E-02
3.046682E+03,1.389625E-02
3.146079E+03,1.469275E-02
3.245476E+03,1.550279E-02
3.344872E+03,1.632561E-02
3.444269E+03,1.716049E-02
3.543666E+03,1.800667E-02
3.643063E+03,1.886342E-02
3.742459E+03,1.973002E-02
3.841856E+03,2.060572E-02
3.941253E+03,2.148979E-02
4.040650E+03,2.238150E-02
4.140046E+03,2.328012E-02
4.239443E+03,2.418493E-02
4.338840E+03,2.509521E-02
4.438237E+03,2.601022E-02
4.537633E+03,2.692926E-02
4.636195E+03,2.784385E-02
4.728956E+03,2.870695E-02
4.810400E+03,2.946617E-02
4.880387E+03,3.011934E-02
4.942217E+03,3.069674E-02
5.000000E+03,3.123649E-02


